date,pjm_pv_jeremy_scaled
42456.71,0.126176924
42456.75,0
42456.79,0
42456.83,0
42456.87,0
42456.92,0
42456.96,0
42457,0
42457.04,0
42457.08,0
42457.12,0
42457.17,0
42457.21,0.000255052
42457.25,0.113480592
42457.29,0.207957877
42457.33,0.28810652
42457.37,0.380406137
42457.42,0.400110893
42457.46,0.506587484
42457.5,0.468357447
42457.54,0.370594498
42457.58,0.293352474
42457.62,0.184426449
42457.67,0.111966299
42457.71,0.03558159
42457.75,0
42457.79,0
42457.83,0
42457.87,0
42457.92,0
42457.96,0
42458,0
42458.04,0
42458.08,0
42458.12,0
42458.17,0
42458.21,0.000254934
42458.25,0.098502005
42458.29,0.178536546
42458.33,0.244051036
42458.37,0.372136523
42458.42,0.507340298
42458.46,0.622407987
42458.5,0.660555959
42458.54,0.584541374
42458.58,0.620313521
42458.62,0.416285606
42458.67,0.367682769
42458.71,0.088286362
42458.75,0
42458.79,0
42458.83,0
42458.87,0
42458.92,0
42458.96,0
42459,0
42459.04,0
42459.08,0
42459.12,0
42459.17,0
42459.21,0.025731717
42459.25,0.523871461
42459.29,0.747674331
42459.33,0.770191937
42459.37,0.84317994
42459.42,0.879316654
42459.46,0.84206504
42459.5,0.879316654
42459.54,0.879316654
42459.58,0.8793041
42459.62,0.804827238
42459.67,0.657870843
42459.71,0.30692066
42459.75,0
42459.79,0
42459.83,0
42459.87,0
42459.92,0
42459.96,0
42460,0
42460.04,0
42460.08,0
42460.12,0
42460.17,0
42460.21,0.048213063
42460.25,0.558361523
42460.29,0.761668936
42460.33,0.859214234
42460.37,0.877337997
42460.42,0.879316654
42460.46,0.879316654
42460.5,0.860953915
42460.54,0.813505331
42460.58,0.785997147
42460.62,0.66936121
42460.67,0.490743378
42460.71,0.149189184
42460.75,0
42460.79,0
42460.83,0
42460.87,0
42460.92,0
42460.96,0
42461,0
42461.04,0
42461.08,0
42461.12,0
42461.17,0
42461.21,0.025023962
42461.25,0.338851043
42461.29,0.391795961
42461.33,0.435296047
42461.37,0.432642085
42461.42,0.445424249
42461.46,0.464530133
42461.5,0.487179471
42461.54,0.372937523
42461.58,0.332364301
42461.62,0.238586856
42461.67,0.188659073
42461.71,0.046572282
42461.75,0
42461.79,0
42461.83,0
42461.87,0
42461.92,0
42461.96,0
42462,0
42462.04,0
42462.08,0
42462.12,0
42462.17,0
42462.21,0.00227641
42462.25,0.036531811
42462.29,0.068150716
42462.33,0.189404432
42462.37,0.255230392
42462.42,0.572456818
42462.46,0.707288678
42462.5,0.742259871
42462.54,0.659629933
42462.58,0.661141801
42462.62,0.462683185
42462.67,0.301115618
42462.71,0.092188167
42462.75,0
42462.79,0
