Date,Desert_NC
40680.37,0.239015907
40680.42,0.21608438
40680.46,0.285237923
40680.5,0.432787953
40680.54,0.474441706
40680.58,0.270009861
40680.62,0.203413343
40680.67,0.315344694
40680.71,0.325859152
40680.75,0.33578863
40680.79,0.382393584
40680.83,0.422685207
40680.87,0.371881171
40680.92,0.347820445
40680.96,0.110376683
40681,0.094262552
40681.04,0.083219353
40681.08,0.13560815
40681.12,0.07221666
40681.17,0.10233411
40681.21,0.08026395
40681.25,0.039370606
40681.29,0.000705275
40681.33,0.004782432
40681.37,0.008135334
40681.42,0.00860378
40681.46,0.014710057
40681.5,0.031404119
40681.54,0.198457749
40681.58,0.162798485
40681.62,0.000784813
40681.67,0.014497987
40681.71,0.019062065
40681.75,0
40681.79,0.011279619
40681.83,0.419584352
40681.87,0.51961869
40681.92,0.538430326
40681.96,0.48443369
40682,0.366705044
40682.04,0.399460435
40682.08,0.360780098
40682.12,0.369354499
40682.17,0.278236155
40682.21,0.131168189
40682.25,0.04107095
40682.29,0.000748774
40682.33,0.004632118
40682.37,0.008774435
40682.42,0.025149619
40682.46,0.040947554
40682.5,0.054890538
40682.54,0.058930193
40682.58,0.071600337
40682.62,0.088447417
40682.67,0.107984896
40682.71,0.129116668
40682.75,0.15107689
40682.79,0.213490602
40682.83,0.00725108
40682.87,0
40682.92,0.194990399
40682.96,0.43798263
40683,0.206011613
40683.04,0.196368985
40683.08,0.168572738
40683.12,0.162259792
40683.17,0.244533814
40683.21,0.076267471
40683.25,0.035504833
40683.29,0.001085644
40683.33,0
40683.37,0.018086891
40683.42,0.07809437
40683.46,0.130473489
40683.5,0.165699906
40683.54,0.12841238
40683.58,0.060210945
40683.62,0.062856724
40683.67,0.006087995
40683.71,0.015914965
40683.75,0.069017825
40683.79,0.117142757
40683.83,0.054462391
40683.87,0
40683.92,0.005777821
40683.96,0.001644242
40684,0
40684.04,0
40684.08,0
40684.12,0.004580256
40684.17,0.039327439
40684.21,0.130379112
40684.25,0.064415698
40684.29,0.00886255
40684.33,0.01223703
40684.37,0.024553389
40684.42,0.039684813
40684.46,0.081435418
40684.5,0.083451095
40684.54,0.067063332
40684.58,0.034443119
40684.62,0.017719907
40684.67,0.008829287
40684.71,0.018681354
40684.75,0.050290696
40684.79,0.057402618
40684.83,0.017031558
