Date,Power (MW per MW installed capacity)
39106,0.054511188
39106.04167,0.061765965
39106.08333,0.065650398
39106.125,0.068971219
39106.16667,0.06366223
39106.20833,0.055515205
39106.25,0.048385967
39106.29167,0.041686411
39106.33333,0.038849252
39106.375,0.032673896
39106.41667,0.028338978
39106.45833,0.031283468
39106.5,0.035235866
39106.54167,0.036200669
39106.58333,0.04001973
39106.625,0.032565947
39106.66667,0.019848771
39106.70833,0.027988519
39106.75,0.031869028
39106.79167,0.027709784
39106.83333,0.025238332
39106.875,0.024417723
39106.91667,0.030114411
39106.95833,0.048020009
39107,0.054762123
39107.04167,0.041234829
39107.08333,0.039463571
39107.125,0.047549075
39107.16667,0.06312765
39107.20833,0.055931316
39107.25,0.047230707
39107.29167,0.048042119
39107.33333,0.040119028
39107.375,0.028332921
39107.41667,0.033686218
39107.45833,0.034839716
39107.5,0.032776636
39107.54167,0.031275965
39107.58333,0.028553847
39107.625,0.024555158
39107.66667,0.016627325
39107.70833,0.022801048
39107.75,0.03431007
39107.79167,0.037192084
39107.83333,0.035523089
39107.875,0.036658873
39107.91667,0.054724728
39107.95833,0.072260055
39108,0.072189788
39108.04167,0.062344908
39108.08333,0.05406932
39108.125,0.050594904
39108.16667,0.041851171
39108.20833,0.036097816
39108.25,0.031047998
39108.29167,0.024294381
39108.33333,0.017308987
39108.375,0.012859268
39108.41667,0.013034663
39108.45833,0.025941463
39108.5,0.05881244
39108.54167,0.109535316
39108.58333,0.146040704
39108.625,0.161792452
39108.66667,0.16083939
39108.70833,0.167339034
39108.75,0.118045137
39108.79167,0.086200124
39108.83333,0.086442864
39108.875,0.09946995
39108.91667,0.126002317
39108.95833,0.146944059
39109,0.163444133
39109.04167,0.167411
39109.08333,0.148980604
39109.125,0.138272359
39109.16667,0.135128461
39109.20833,0.128247487
39109.25,0.108262835
39109.29167,0.089060611
39109.33333,0.059500284
39109.375,0.046902417
39109.41667,0.050786688
39109.45833,0.053734019
39109.5,0.061885225
39109.54167,0.071962657
39109.58333,0.088392545
39109.625,0.109590554
39109.66667,0.108799997
39109.70833,0.102297523
39109.75,0.09015465
39109.79167,0.09139284
39109.83333,0.099260166
39109.875,0.132756249
39109.91667,0.123222459
39109.95833,0.105418865
39110,0.060032692
39110.04167,0.039849864
39110.08333,0.038249827
39110.125,0.036532857
39110.16667,0.050305681
39110.20833,0.090622961
39110.25,0.124193995
39110.29167,0.133540573
39110.33333,0.10399942
39110.375,0.130656758
39110.41667,0.175098524
39110.45833,0.171098214
39110.5,0.175497665
39110.54167,0.198456237
39110.58333,0.167897496
39110.625,0.184828461
39110.66667,0.242462139
39110.70833,0.326088728
39110.75,0.337057281
39110.79167,0.332716908
39110.83333,0.320261897
39110.875,0.318954649
39110.91667,0.323026153
39110.95833,0.31659677
39111,0.31518385
39111.04167,0.322781503
39111.08333,0.345039143
39111.125,0.373291154
39111.16667,0.396487445
39111.20833,0.41562871
39111.25,0.420614418
39111.29167,0.422588691
39111.33333,0.341321871
39111.375,0.264202718
39111.41667,0.259769544
39111.45833,0.268827031
39111.5,0.286955633
39111.54167,0.297410098
39111.58333,0.288549938
39111.625,0.290676479
39111.66667,0.273570558
39111.70833,0.352787665
39111.75,0.352237329
39111.79167,0.31684543
39111.83333,0.275864427
39111.875,0.251213
39111.91667,0.241131236
39111.95833,0.237110288
39112,0.236400612
39112.04167,0.23801178
39112.08333,0.248652593
39112.125,0.253293984
39112.16667,0.227865129
39112.20833,0.197868743
39112.25,0.167961834
39112.29167,0.141023612
39112.33333,0.082177642
39112.375,0.045125635
39112.41667,0.032515818
39112.45833,0.034652287
39112.5,0.027978106
39112.54167,0.040362476
39112.58333,0.06898433
39112.625,0.110954448
