Date,Radfords_Run_IL
39762.92,0.075874727
39762.96,0.128183077
39763,0.20196607
39763.04,0.296400144
39763.08,0.449769624
39763.12,0.444840822
39763.17,0.452399968
39763.21,0.489580597
39763.25,0.432531653
39763.29,0.539983628
39763.33,0.467315617
39763.37,0.508465694
39763.42,0.365518541
39763.46,0.357110638
39763.5,0.35303401
39763.54,0.318356205
39763.58,0.434258155
39763.62,0.513896491
39763.67,0.683496111
39763.71,0.770606982
39763.75,0.75282671
39763.79,0.779991189
39763.83,0.760152836
39763.87,0.737130025
39763.92,0.691031685
39763.96,0.636695903
39764,0.629303576
39764.04,0.545396104
39764.08,0.54220909
39764.12,0.535138846
39764.17,0.586280178
39764.21,0.560996311
39764.25,0.50989448
39764.29,0.434945778
39764.33,0.366843945
39764.37,0.331845444
39764.42,0.287563073
39764.46,0.281031642
39764.5,0.215062946
39764.54,0.206382467
39764.58,0.147722309
39764.62,0.087408259
39764.67,0.089459342
39764.71,0.084857101
39764.75,0.089763741
39764.79,0.152260329
39764.83,0.104496162
39764.87,0.071772685
39764.92,0.071902089
39764.96,0.128780939
39765,0.081421778
39765.04,0.117385854
39765.08,0.090014128
39765.12,0.11946196
39765.17,0.112421201
39765.21,0.038987995
39765.25,0.081033778
39765.29,0.120384229
39765.33,0.190733385
39765.37,0.207895061
39765.42,0.247219241
39765.46,0.376320004
39765.5,0.535882495
39765.54,0.61070542
39765.58,0.617867125
39765.62,0.639625992
39765.67,0.772014811
39765.71,0.83206582
39765.75,0.826549334
39765.79,0.825943123
39765.83,0.794585257
39765.87,0.702219829
39765.92,0.767362202
39765.96,0.741874767
39766,0.737899376
39766.04,0.671817799
39766.08,0.729607719
39766.12,0.712608281
39766.17,0.682773215
39766.21,0.732910126
39766.25,0.779715208
39766.29,0.727330214
39766.33,0.646887367
39766.37,0.398904204
39766.42,0.266293387
39766.46,0.145053217
39766.5,0.14072807
39766.54,0.152156105
39766.58,0.140069232
39766.62,0.058245964
39766.67,0.098314015
39766.71,0.149113932
39766.75,0.12324673
39766.79,0.265188936
39766.83,0.238160543
39766.87,0.318451857
39766.92,0.42008764
39766.96,0.41244663
39767,0.533096506
39767.04,0.555818401
39767.08,0.549380922
39767.12,0.578113991
39767.17,0.444350109
39767.21,0.561262584
39767.25,0.602328012
39767.29,0.678341774
39767.33,0.722415307
39767.37,0.75479211
39767.42,0.741526412
39767.46,0.710708546
39767.5,0.717387276
39767.54,0.72497874
39767.58,0.719863248
39767.62,0.743778207
39767.67,0.688073443
39767.71,0.676593294
39767.75,0.683322135
39767.79,0.601274337
39767.83,0.635558342
39767.87,0.51440739
39767.92,0.616508083
39767.96,0.556112224
39768,0.413429681
39768.04,0.381491926
39768.08,0.355573154
39768.12,0.317002286
39768.17,0.268025719
39768.21,0.300732643
39768.25,0.373232837
39768.29,0.33869212
39768.33,0.101211786
39768.37,0.083148158
39768.42,0.113780359
39768.46,0.177855561
39768.5,0.228575076
39768.54,0.262404954
39768.58,0.25054536
39768.62,0.218574133
39768.67,0.237763971
39768.71,0.197697609
39768.75,0.449639296
39768.79,0.651401515
39768.83,0.718316374
39768.87,0.738090484
39768.92,0.540489932
39768.96,0.530006865
39769,0.564807304
39769.04,0.475925338
39769.08,0.437705705
39769.12,0.434379692
39769.17,0.422751016
39769.21,0.361645538
39769.25,0.34640883
39769.29,0.28891647
39769.33,0.125390678
39769.37,0.131181339
39769.42,0.251828977
39769.46,0.497095052
39769.5,0.536257337
39769.54,0.518647304
39769.58,0.506490121
39769.62,0.530638506
39769.67,0.496286187
39769.71,0.744468556
39769.75,0.727668142
39769.79,0.749944433
39769.83,0.662445784
39769.87,0.616304889
39769.92,0.510097429
39769.96,0.443767975
39770,0.263599092
39770.04,0.245141976
39770.08,0.291363907
39770.12,0.225141487
39770.17,0.262864369
39770.21,0.276791602
39770.25,0.204585104
39770.29,0.174454847
39770.33,0.08874675
39770.37,0.044164367
39770.42,0.022963691
39770.46,0.010016721
39770.5,0.012758711
39770.54,0.003263692
39770.58,0
39770.62,0
39770.67,0
39770.71,0
39770.75,0
39770.79,0.008631586
39770.83,0.017456375
39770.87,0.11994321
39770.92,0.270536665
39770.96,0.418340836
39771,0.461500132
39771.04,0.602133529
39771.08,0.714352873
39771.12,0.754679503
39771.17,0.772428027
39771.21,0.801684579
39771.25,0.809589292
39771.29,0.806137467
39771.33,0.756875864
39771.37,0.531852745
39771.42,0.403076905
39771.46,0.337455421
39771.5,0.322814528
39771.54,0.286886821
39771.58,0.242775131
39771.62,0.262992152
39771.67,0.480254282
39771.71,0.688801068
39771.75,0.814074693
39771.79,0.827445415
39771.83,0.828751416
39771.87,0.82378711
39771.92,0.754129371
39771.96,0.682641966
39772,0.61014768
39772.04,0.566923474
39772.08,0.458943968
39772.12,0.439107295
39772.17,0.465303512
39772.21,0.4939566
39772.25,0.478688552
39772.29,0.434729501
39772.33,0.431507524
39772.37,0.435880245
39772.42,0.388453781
39772.46,0.492041661
39772.5,0.597656761
39772.54,0.644911892
39772.58,0.688709165
39772.62,0.711499836
39772.67,0.530196055
39772.71,0.55323664
39772.75,0.599516321
39772.79,0.73385063
39772.83,0.787341889
39772.87,0.733804818
39772.92,0.683600547
39772.96,0.661510094
39773,0.660056676
39773.04,0.628329603
39773.08,0.574301444
39773.12,0.529591217
39773.17,0.407712113
39773.21,0.328924036
39773.25,0.280579653
39773.29,0.239951017
39773.33,0.113367861
39773.37,0.031204331
39773.42,0.01032857
39773.46,0.011351403
39773.5,0.01222644
39773.54,0.012043658
39773.58,0.011589858
39773.62,0.011055635
39773.67,0.01800502
39773.71,0.012162058
39773.75,0.011516794
39773.79,0.009884411
39773.83,0
39773.87,0
39773.92,0.01676747
39773.96,0.01088282
39774,0.025501762
39774.04,0.071810892
39774.08,0.107969609
39774.12,0.143432523
39774.17,0.160669057
39774.21,0.178578763
39774.25,0.221021576
39774.29,0.272105813
39774.33,0.208836735
39774.37,0.124310676
39774.42,0.133196109
39774.46,0.143744474
39774.5,0.176735549
39774.54,0.167825506
39774.58,0.166447044
39774.62,0.137389122
39774.67,0.20101915
39774.71,0.310964599
39774.75,0.423798537
39774.79,0.627931956
39774.83,0.616499077
39774.87,0.631497207
39774.92,0.643479285
