date,pjm_pv_jeremy_3_28
40720.29,0.222977627
40720.33,0.40773607
40720.37,0.508660278
40720.42,0.649549299
40720.46,0.630075503
40720.5,0.636644686
40720.54,0.626625141
40720.58,0.56380577
40720.62,0.451239159
40720.67,0.341762574
40720.71,0.233693971
40720.75,0.094078919
40720.79,0.022677848
40720.83,0
40720.87,0
40720.92,0
40720.96,0
40721,0
40721.04,0
40721.08,0
40721.12,0
40721.17,0
40721.21,0.009502823
40721.25,0.054265932
40721.29,0.20785514
40721.33,0.34288912
40721.37,0.4362258
40721.42,0.418054282
40721.46,0.487229735
40721.5,0.510059372
40721.54,0.568267032
40721.58,0.44761176
40721.62,0.399944162
40721.67,0.308157324
40721.71,0.227748595
40721.75,0.11611455
40721.79,0.029863227
40721.83,0
40721.87,0
40721.92,0
40721.96,0
40722,0
40722.04,0
40722.08,0
40722.12,0
40722.17,0
40722.21,0.011544811
40722.25,0.077541872
40722.29,0.184979829
40722.33,0.302149736
40722.37,0.498403082
40722.42,0.528333906
40722.46,0.540768105
40722.5,0.565807835
40722.54,0.681185786
40722.58,0.663296034
40722.62,0.562019751
40722.67,0.36837308
40722.71,0.254348825
40722.75,0.123745433
40722.79,0.022999865
40722.83,0
40722.87,0
40722.92,0
40722.96,0
40723,0
40723.04,0
40723.08,0
40723.12,0
40723.17,0
40723.21,0.013032357
40723.25,0.072661795
40723.29,0.269490855
40723.33,0.487389739
40723.37,0.650935205
40723.42,0.754187617
40723.46,0.782514278
40723.5,0.799596522
40723.54,0.796602584
40723.58,0.649905596
40723.62,0.672145058
40723.67,0.482309771
40723.71,0.343955708
40723.75,0.133594335
40723.79,0.030099517
40723.83,0
40723.87,0
40723.92,0
40723.96,0
40724,0
40724.04,0
40724.08,0
40724.12,0
40724.17,0
40724.21,0.012698622
40724.25,0.073007566
40724.29,0.284758921
40724.33,0.492210943
40724.37,0.650139421
40724.42,0.753951902
40724.46,0.798908498
40724.5,0.820792201
40724.54,0.801805214
40724.58,0.746206759
40724.62,0.67077693
40724.67,0.524388845
40724.71,0.343606351
40724.75,0.131104785
40724.79,0.028924348
40724.83,0
40724.87,0
40724.92,0
40724.96,0
40725,0
40725.04,0
40725.08,0
40725.12,0
40725.17,0
40725.21,0.011851926
40725.25,0.070664385
40725.29,0.284363227
40725.33,0.490382038
40725.37,0.646535408
40725.42,0.749894605
40725.46,0.805835695
40725.5,0.823469306
40725.54,0.806655008
40725.58,0.758575157
40725.62,0.656797824
40725.67,0.518911861
40725.71,0.328039667
40725.75,0.124802157
40725.79,0.02960756
40725.83,0
40725.87,0
40725.92,0
40725.96,0
40726,0
40726.04,0
40726.08,0
40726.12,0
40726.17,0
40726.21,0.011453703
40726.25,0.072726941
40726.29,0.268936941
40726.33,0.432081332
40726.37,0.576836488
40726.42,0.693018825
40726.46,0.739110947
40726.5,0.767037799
40726.54,0.669836391
40726.58,0.684253828
40726.62,0.586141154
40726.67,0.473854522
40726.71,0.262628837
40726.75,0.10027391
40726.79,0.02566339
40726.83,0
40726.87,0
40726.92,0
40726.96,0
40727,0
40727.04,0
40727.08,0
40727.12,0
40727.17,0
40727.21,0.002836624
40727.25,0.047620541
40727.29,0.176333225
40727.33,0.300935453
40727.37,0.431755479
40727.42,0.537431344
40727.46,0.673453137
40727.5,0.708313894
40727.54,0.654597421
40727.58,0.570319135
40727.62,0.537669823
40727.67,0.410821892
40727.71,0.191776887
40727.75,0.101043606
40727.79,0.021143701
40727.83,0
40727.87,0
40727.92,0
40727.96,0
40728,0
40728.04,0
40728.08,0
40728.12,0
40728.17,0
40728.21,0.005891042
40728.25,0.073228311
40728.29,0.205999997
40728.33,0.367235509
40728.37,0.457230405
40728.42,0.523050528
40728.46,0.590786466
40728.5,0.61921708
40728.54,0.608623515
40728.58,0.585543414
40728.62,0.511704167
40728.67,0.332346493
40728.71,0.233684022
