date,util_pv_pjm
42679.75,0.004390779
42679.79,0.005488474
42679.83,0.00521405
42679.87,0.005488474
42679.92,0.004939627
42679.96,0.004390779
42680,0.005488474
42680.04,0.005488474
42680.08,0.004939627
42680.12,0.005488474
42680.17,0.00521405
42680.21,0.005488474
42680.25,0.005488474
42680.29,0.12650933
42680.33,0.618002195
42680.37,0.876234907
42680.42,0.975301866
42680.46,0.961580681
42680.5,0.869923161
42680.54,0.775795829
42680.58,0.672063666
42680.62,0.53183315
42680.67,0.114434687
42680.71,0.004390779
42680.75,0.005488474
42680.79,0.00521405
42680.83,0.005488474
42680.87,0.005488474
42680.92,0.00521405
42680.96,0.004939627
42681,0.00521405
42681.04,0.005488474
42681.08,0.005488474
42681.12,0.005488474
42681.17,0.004939627
42681.21,0.004665203
42681.25,0.003841932
42681.29,0.130625686
42681.33,0.678649835
42681.37,0.935784852
42681.42,1
42681.46,0.996706915
42681.5,0.973106476
42681.54,0.926454446
42681.58,0.829308452
42681.62,0.524972558
42681.67,0.10208562
42681.71,0.031009879
42681.75,0.031009879
42681.79,0.031009879
42681.83,0.031009879
42681.87,0.031009879
42681.92,0.031009879
42681.96,0.031009879
42682,0.030735456
42682.04,0.031009879
42682.08,0.031009879
42682.12,0.030735456
42682.17,0.030461032
42682.21,0.030186608
42682.25,0.029363337
42682.29,0.143798024
42682.33,0.592206367
42682.37,0.866081229
42682.42,0.914105379
42682.46,0.908342481
42682.5,0.868276619
42682.54,0.788693743
42682.58,0.711306257
42682.62,0.510153677
42682.67,0.510153677
42682.71,0.031009879
42682.75,0.030186608
42682.79,0.029912184
42682.83,0.029912184
42682.87,0.030461032
42682.92,0.030735456
42682.96,0.030461032
42683,0.031009879
42683.04,0.029912184
42683.08,0.030186608
42683.12,0.030735456
42683.17,0.030461032
42683.21,0.030186608
42683.25,0.030735456
42683.29,0.032930845
42683.33,0.067782656
42683.37,0.134467618
42683.42,0.150658617
42683.46,0.146267838
42683.5,0.199506037
42683.54,0.157793633
42683.58,0.206092206
42683.62,0.155598244
42683.67,0.05104281
42683.71,0.030186608
42683.75,0.029912184
42683.79,0.030186608
42683.83,0.029912184
42683.87,0.029912184
42683.92,0.029912184
42683.96,0.029912184
42684,0.029912184
42684.04,0.029912184
42684.08,0.030186608
42684.12,0.029912184
42684.17,0.030186608
42684.21,0.029912184
42684.25,0.029912184
42684.29,0.099066959
42684.33,0.510153677
42684.37,0.854006586
42684.42,0.961031833
42684.46,0.95417124
42684.5,0.910263447
42684.54,0.851811196
42684.58,0.75219539
42684.62,0.522777168
42684.67,0.094950604
42684.71,0.030186608
42684.75,0.029912184
42684.79,0.029912184
42684.83,0.029912184
42684.87,0.030186608
42684.92,0.030735456
42684.96,0.030461032
42685,0.030461032
42685.04,0.029912184
42685.08,0.029912184
42685.12,0.029912184
42685.17,0.030186608
42685.21,0.029912184
42685.25,0.030735456
42685.29,0.127332602
42685.33,0.617178924
42685.37,0.879253568
42685.42,0.885839737
42685.46,0.862788145
42685.5,0.847694841
42685.54,0.793084523
42685.58,0.658616905
42685.62,0.413830955
42685.67,0.106750823
42685.71,0.029912184
42685.75,0.029912184
42685.79,0.029912184
42685.83,0.029912184
42685.87,0.029912184
42685.92,0.030186608
42685.96,0.029912184
42686,0.029912184
42686.04,0.030186608
42686.08,0.029912184
42686.12,0.031009879
42686.17,0.025521405
42686.21,0.025521405
42686.25,0.025521405
42686.29,0.080954995
42686.33,0.630076839
42686.37,0.823271131
42686.42,0.899560922
42686.46,0.920417124
42686.5,0.945115258
42686.54,0.914379802
42686.58,0.827387486
42686.62,0.545005488
42686.67,0.149286498
42686.71,0.025521405
42686.75,0.025521405
42686.79,0.025521405
42686.83,0.025521405
42686.87,0.025521405
42686.92,0.025521405
42686.96,0.025521405
42687,0.025521405
42687.04,0.025521405
42687.08,0.025521405
42687.12,0.025521405
42687.17,0.025521405
42687.21,0.025521405
42687.25,0.025521405
42687.29,0.105927552
42687.33,0.60428101
42687.37,0.879527991
42687.42,0.958287596
42687.46,0.974478595
42687.5,0.952250274
42687.54,0.914105379
42687.58,0.855653128
42687.62,0.518660812
42687.67,0.064215148
42687.71,0.025521405
42687.75,0.025521405
42687.79,0.025521405
42687.83,0.025521405
42687.87,0.025521405
42687.92,0.025521405
42687.96,0.025521405
42688,0.025521405
42688.04,0.025521405
42688.08,0.025521405
42688.12,0.025521405
42688.17,0.025521405
42688.21,0.025521405
42688.25,0.025521405
42688.29,0.066684962
42688.33,0.375137212
42688.37,0.479692645
42688.42,0.56586169
42688.46,0.62129528
42688.5,0.508781559
42688.54,0.332327113
42688.58,0.214050494
42688.62,0.069978046
42688.67,0.025521405
42688.71,0.025521405
42688.75,0.025521405
42688.79,0.025521405
42688.83,0.025521405
42688.87,0.025521405
42688.92,0.025521405
42688.96,0.025521405
42689,0.025521405
42689.04,0.025521405
42689.08,0.025521405
42689.12,0.025521405
42689.17,0.025521405
42689.21,0.025521405
42689.25,0.025521405
42689.29,0.037870472
42689.33,0.30104281
42689.37,0.409989023
42689.42,0.599615807
42689.46,0.604555434
42689.5,0.63090011
42689.54,0.702799122
42689.58,0.564763996
42689.62,0.459110867
42689.67,0.070801317
42689.71,0.025521405
42689.75,0.025521405
42689.79,0.025521405
42689.83,0.025521405
42689.87,0.025521405
42689.92,0.025521405
42689.96,0.025521405
42690,0.025521405
42690.04,0.025521405
42690.08,0.025521405
42690.12,0.025521405
42690.17,0.025521405
42690.21,0.025521405
42690.25,0.025521405
42690.29,0.042261251
42690.33,0.357025247
42690.37,0.708013172
42690.42,0.836443469
42690.46,0.806805708
42690.5,0.770856202
42690.54,0.684412733
42690.58,0.561745335
42690.62,0.495883644
42690.67,0.059275521
42690.71,0.025521405
42690.75,0.025521405
42690.79,0.025521405
42690.83,0.025521405
42690.87,0.025521405
42690.92,0.025521405
42690.96,0.025521405
42691,0.025521405
42691.04,0.025521405
42691.08,0.025521405
42691.12,0.025521405
42691.17,0.025521405
42691.21,0.025521405
42691.25,0.025521405
42691.29,0.061745335
42691.33,0.541712404
42691.37,0.792810099
42691.42,0.862513721
42691.46,0.891877058
42691.5,0.885565313
42691.54,0.8564764
42691.58,0.754665203
42691.62,0.427277717
42691.67,0.059275521
42691.71,0.025521405
42691.75,0.025521405
42691.79,0.025521405
42691.83,0.025521405
42691.87,0.025521405
42691.92,0.025521405
42691.96,0.025521405
42692,0.025521405
42692.04,0.025521405
42692.08,0.025521405
42692.12,0.025521405
42692.17,0.025521405
42692.21,0.025521405
42692.25,0.025521405
42692.29,0.090285401
42692.33,0.497255763
42692.37,0.811196487
42692.42,0.899286498
42692.46,0.886663008
42692.5,0.874039517
42692.54,0.840010977
42692.58,0.737650933
42692.62,0.456915477
42692.67,0.065312843
42692.71,0
42692.75,0
42692.79,0
42692.83,0
42692.87,0
42692.92,0
42692.96,0
42693,0
42693.04,0
42693.08,0
42693.12,0
42693.17,0
42693.21,0
42693.25,0
42693.29,0.045279912
42693.33,0.457738749
42693.37,0.789791438
42693.42,0.858671789
42693.46,0.857299671
42693.5,0.841108672
42693.54,0.802689352
42693.58,0.649012075
42693.62,0.327936334
42693.67,0.006037322
42693.71,0
42693.75,0
42693.79,0
42693.83,0
42693.87,0
42693.92,0
42693.96,0
42694,0
42694.04,0
42694.08,0
42694.12,0
42694.17,0
42694.21,0
42694.25,0
42694.29,0.035400659
42694.33,0.423984632
42694.37,0.569429199
42694.42,0.579582876
42694.46,0.544456641
42694.5,0.477771679
42694.54,0.444566411
42694.58,0.367178924
42694.62,0.258507135
42694.67,0.049121844
42694.71,0
42694.75,0
42694.79,0
42694.83,0
42694.87,0
42694.92,0
42694.96,0
42695,0
42695.04,0
42695.08,0
42695.12,0
42695.17,0
42695.21,0
42695.25,0
42695.29,0.04143798
42695.33,0.44895719
42695.37,0.678375412
42695.42,0.728046103
42695.46,0.742864984
42695.5,0.764544457
42695.54,0.797749726
42695.58,0.748079034
42695.62,0.487376509
42695.67,0.037321625
42695.71,0
42695.75,0
42695.79,0
42695.83,0
42695.87,0
42695.92,0
42695.96,0
42696,0
42696.04,0
42696.08,0
42696.12,0
42696.17,0
42696.21,0
42696.25,0
42696.29,0.046377607
42696.33,0.448133919
42696.37,0.658891328
42696.42,0.738748628
42696.46,0.73819978
42696.5,0.823545554
42696.54,0.817508233
42696.58,0.74259056
42696.62,0.444017563
42696.67,0.069429199
42696.71,0
42696.75,0
42696.79,0
42696.83,0
42696.87,0
42696.92,0
42696.96,0
42697,0
42697.04,0
42697.08,0
42697.12,0
42697.17,0
42697.21,0
42697.25,0
42697.29,0.048024149
42697.33,0.504939627
42697.37,0.804335895
42697.42,0.93413831
42697.46,0.847969265
42697.5,0.859769484
42697.54,0.812294182
42697.58,0.70636663
42697.62,0.399835346
42697.67,0.027442371
42697.71,0
42697.75,0
42697.79,0
42697.83,0
42697.87,0
42697.92,0
42697.96,0
42698,0
42698.04,0
42698.08,0
42698.12,0
42698.17,0
42698.21,0
42698.25,0
42698.29,0
42698.33,0.048572997
42698.37,0.118825467
42698.42,0.197310648
42698.46,0.185510428
42698.5,0.313391877
42698.54,0.307354555
42698.58,0.234357849
42698.62,0.182766191
42698.67,0.028540066
42698.71,0
42698.75,0
42698.79,0
42698.83,0
42698.87,0
42698.92,0
42698.96,0
42699,0
42699.04,0
42699.08,0
42699.12,0
42699.17,0
42699.21,0
42699.25,0
42699.29,0.005762898
42699.33,0.079582876
42699.37,0.114160263
42699.42,0.155049396
42699.46,0.28622393
42699.5,0.24259056
42699.54,0.199780461
42699.58,0.185236004
42699.62,0.091657519
42699.67,0.01920966
42699.71,0
42699.75,0
42699.79,0
42699.83,0
42699.87,0
42699.92,0
42699.96,0
42700,0
42700.04,0
42700.08,0
42700.12,0
42700.17,0
42700.21,0
42700.25,0
42700.29,0.004665203
42700.33,0.078759605
42700.37,0.389407245
42700.42,0.551866081
42700.46,0.57025247
42700.5,0.405598244
42700.54,0.424807903
42700.58,0.491218441
42700.62,0.338364435
42700.67,0.031009879
42700.71,0
42700.75,0
42700.79,0
42700.83,0
42700.87,0
42700.92,0
42700.96,0
42701,0
42701.04,0
42701.08,0
42701.12,0
42701.17,0
42701.21,0
42701.25,0
42701.29,0.035126235
42701.33,0.455543359
42701.37,0.776344676
