Date,Blue_Creek_OH
39124.46,0.194739574
39124.5,0.221864898
39124.54,0.305752871
39124.58,0.328149536
39124.62,0.324460629
39124.67,0.326736966
39124.71,0.302519502
39124.75,0.387123944
39124.79,0.442497561
39124.83,0.502181829
39124.87,0.471710299
39124.92,0.44746411
39124.96,0.40486113
39125,0.322785812
39125.04,0.164093731
39125.08,0.118454342
39125.12,0.037545629
39125.17,0.011232041
39125.21,0.003783818
39125.25,0
39125.29,0
39125.33,0.00319039
39125.37,0.006494467
39125.42,0.006472641
39125.46,0
39125.5,0
39125.54,0
39125.58,0.010232181
39125.62,0.020999598
39125.67,0.065467577
39125.71,0.235714428
39125.75,0.338250018
39125.79,0.362842741
39125.83,0.356950483
39125.87,0.383642956
39125.92,0.446678607
39125.96,0.53441898
39126,0.586637022
39126.04,0.593141768
39126.08,0.641717516
39126.12,0.665080896
39126.17,0.630439415
39126.21,0.674061806
39126.25,0.754383573
39126.29,0.773668325
39126.33,0.785701517
39126.37,0.796710388
39126.42,0.804789397
39126.46,0.800717462
39126.5,0.783502413
39126.54,0.778472471
39126.58,0.746595863
39126.62,0.789917454
39126.67,0.80304331
39126.71,0.822337131
39126.75,0.835572617
39126.79,0.835572617
39126.83,0.835572617
39126.87,0.835572617
39126.92,0.81937796
39126.96,0.787232931
39127,0.796743394
39127.04,0.79023098
39127.08,0.801631499
39127.12,0.805164212
39127.17,0.802555187
39127.21,0.76433863
39127.25,0.680677301
39127.29,0.625543409
39127.33,0.631069489
39127.37,0.622976201
39127.42,0.619516252
39127.46,0.569587806
39127.5,0.512461362
39127.54,0.495076762
39127.58,0.471380359
39127.62,0.432091174
39127.67,0.314358224
39127.71,0.311250795
39127.75,0.389696475
39127.79,0.704223425
39127.83,0.752390301
39127.87,0.700220722
39127.92,0.690812352
39127.96,0.647885112
39128,0.652186231
39128.04,0.561974298
39128.08,0.230503328
39128.12,0.013316186
39128.17,0
39128.21,0
39128.25,0
39128.29,0.005937522
39128.33,0.030077548
39128.37,0.089403585
39128.42,0.044366689
39128.46,0.015115125
39128.5,0.015242339
39128.54,0.040431242
39128.58,0.11881913
39128.62,0.26912958
39128.67,0.341256323
39128.71,0.548895662
39128.75,0.682611566
39128.79,0.760693914
39128.83,0.792622366
39128.87,0.800284982
39128.92,0.755212524
39128.96,0.74619146
39129,0.724891612
39129.04,0.772446113
39129.08,0.778756505
39129.12,0.776756023
39129.17,0.790371253
39129.21,0.767461756
39129.25,0.763333094
39129.29,0.727630884
39129.33,0.562344763
39129.37,0.345674644
39129.42,0.266425249
39129.46,0.332065689
39129.5,0.368172064
39129.54,0.433474171
39129.58,0.47319841
39129.62,0.489380516
39129.67,0.510438999
39129.71,0.578126918
39129.75,0.697472433
39129.79,0.730717102
39129.83,0.73326297
39129.87,0.705144382
39129.92,0.7194436
39129.96,0.72797049
39130,0.702935157
39130.04,0.516639494
39130.08,0.457902689
39130.12,0.370222557
39130.17,0.277037993
39130.21,0.207538813
39130.25,0.154150887
39130.29,0.120995138
39130.33,0.085446972
39130.37,0.028326573
39130.42,0.015954165
39130.46,0.012340602
39130.5,0.009405077
39130.54,0.016196219
39130.58,0.029234618
39130.62,0.047101132
39130.67,0.096065709
39130.71,0.176511001
39130.75,0.493818554
39130.79,0.718114053
39130.83,0.731032622
39130.87,0.774649058
39130.92,0.736858251
39130.96,0.723715133
39131,0.664729999
39131.04,0.475506178
39131.08,0.292284774
39131.12,0.289200247
39131.17,0.377310044
39131.21,0.516762501
39131.25,0.674071595
39131.29,0.692085301
39131.33,0.646318307
39131.37,0.482184832
39131.42,0.363465473
39131.46,0.338757102
39131.5,0.390405287
39131.54,0.378777088
39131.58,0.416412357
39131.62,0.315046372
39131.67,0.263580829
39131.71,0.448394878
39131.75,0.608494595
39131.79,0.708043348
39131.83,0.627965679
39131.87,0.452407098
39131.92,0.351202692
39131.96,0.234492696
39132,0.182029881
39132.04,0.226193008
39132.08,0.244382801
39132.12,0.356205547
39132.17,0.440474661
39132.21,0.574586855
39132.25,0.567249329
39132.29,0.65977072
39132.33,0.678619317
39132.37,0.715785524
39132.42,0.657810692
39132.46,0.634480809
39132.5,0.614099515
39132.54,0.732823203
39132.58,0.79765366
39132.62,0.80269209
39132.67,0.800819055
39132.71,0.804175628
39132.75,0.784026507
39132.79,0.819153635
39132.83,0.835572617
39132.87,0.835572617
39132.92,0.835572617
39132.96,0.835572617
39133,0.781424299
39133.04,0.748874574
39133.08,0.761854163
39133.12,0.796184568
39133.17,0.803331564
39133.21,0.774979545
39133.25,0.599435938
39133.29,0.470520006
39133.33,0.431713791
39133.37,0.34539804
39133.42,0.360832095
39133.46,0.245880037
39133.5,0.14611431
39133.54,0.121169075
39133.58,0.11466818
39133.62,0.087754516
39133.67,0.064934724
39133.71,0.018852363
39133.75,0.035822234
39133.79,0.113956866
39133.83,0.031519503
39133.87,0.005973224
39133.92,0
39133.96,0
39134,0
39134.04,0
39134.08,0
39134.12,0
39134.17,0
39134.21,0
39134.25,0
39134.29,0
39134.33,0
39134.37,0
39134.42,0
39134.46,0.002418219
39134.5,0
39134.54,0
39134.58,0
39134.62,0
39134.67,0.008709667
39134.71,0.048055705
39134.75,0.136507825
39134.79,0.255261599
39134.83,0.378742054
39134.87,0.544923688
39134.92,0.654263209
39134.96,0.704084802
39135,0.699890927
39135.04,0.705769766
39135.08,0.741280874
39135.12,0.734964967
39135.17,0.754159933
39135.21,0.788161369
39135.25,0.802836793
39135.29,0.783019345
39135.33,0.797108805
39135.37,0.76787319
39135.42,0.785615128
39135.46,0.802007054
39135.5,0.796371945
39135.54,0.801384223
39135.58,0.805234195
39135.62,0.8054214
39135.67,0.788654633
39135.71,0.788393543
39135.75,0.798848165
39135.79,0.80117112
39135.83,0.805419036
39135.87,0.803864902
39135.92,0.733794352
39135.96,0.730316235
39136,0.775384262
39136.04,0.636055942
39136.08,0.622554415
39136.12,0.450021772
39136.17,0.330122843
39136.21,0.338617157
39136.25,0.314108882
39136.29,0.274642125
39136.33,0.143757163
39136.37,0.02354187
39136.42,0.0099976
39136.46,0.007522272
39136.5,0
39136.54,0
39136.58,0
39136.62,0
39136.67,0.003519915
39136.71,0.011228709
39136.75,0.023131242
39136.79,0.030705845
39136.83,0.048407942
39136.87,0.065500826
39136.92,0.080756829
39136.96,0.123872075
39137,0.241910093
39137.04,0.356529683
39137.08,0.375987096
39137.12,0.29617875
