Date,NREL_wind_scaled
39126.29,0.662683004
39126.33,0.663266638
39126.37,0.66856627
39126.42,0.670392505
39126.46,0.680804062
39126.50,0.68959663
39126.54,0.699997498
39126.58,0.704148486
39126.62,0.705697325
39126.67,0.710630712
39126.71,0.717223002
39126.75,0.718149251
39126.79,0.716299238
39126.83,0.717657869
39126.87,0.699556806
39126.92,0.684935177
39126.96,0.677677548
39127.00,0.671020972
39127.04,0.674445997
39127.08,0.666756939
39127.12,0.637952399
39127.17,0.627599737
39127.21,0.610234523
39127.25,0.607386566
39127.29,0.595874788
39127.33,0.514525177
39127.37,0.429604816
39127.42,0.395320789
39127.46,0.389697839
39127.50,0.365440354
39127.54,0.364967979
39127.58,0.38102212
39127.62,0.409754469
39127.67,0.405826864
39127.71,0.47602583
39127.75,0.551423609
39127.79,0.673968015
39127.83,0.697817969
39127.87,0.679437111
39127.92,0.660314346
39127.96,0.648486555
39128.00,0.625647172
39128.04,0.630918295
39128.08,0.573669892
39128.12,0.495926504
39128.17,0.471598355
39128.21,0.494442176
39128.25,0.516395278
39128.29,0.498268321
39128.33,0.37016737
39128.37,0.272571657
39128.42,0.248636519
39128.46,0.253555794
39128.50,0.27137001
39128.54,0.297984891
39128.58,0.33020689
39128.62,0.357683555
39128.67,0.403177253
39128.71,0.518225891
39128.75,0.657712922
39128.79,0.713681601
39128.83,0.754726893
39128.87,0.759019934
39128.92,0.751453058
39128.96,0.740853045
39129.00,0.73194779
39129.04,0.705752054
39129.08,0.677035712
39129.12,0.681907346
39129.17,0.6705999
39129.21,0.668634989
39129.25,0.673533875
39129.29,0.64146392
39129.33,0.5298481
39129.37,0.40710962
39129.42,0.381745811
39129.46,0.41464597
39129.50,0.464612058
39129.54,0.534033072
39129.58,0.581947062
39129.62,0.599292103
39129.67,0.606235361
39129.71,0.663056663
39129.75,0.715929237
39129.79,0.720751871
39129.83,0.692903883
39129.87,0.673469511
39129.92,0.647713354
39129.96,0.616478308
39130.00,0.553162504
39130.04,0.464553936
39130.08,0.402982362
39130.12,0.344907737
39130.17,0.3003201
39130.21,0.292884091
39130.25,0.309704784
39130.29,0.297683449
39130.33,0.269582289
39130.37,0.297775225
39130.42,0.305164433
39130.46,0.313210269
39130.50,0.316359556
39130.54,0.3351767
39130.58,0.367236872
39130.62,0.35636364
39130.67,0.386679054
39130.71,0.474776317
39130.75,0.537979578
39130.79,0.653462202
39130.83,0.714455692
39130.87,0.717796509
39130.92,0.717993637
39130.96,0.716569845
39131.00,0.708711959
39131.04,0.692687643
39131.08,0.673142223
39131.12,0.663678985
39131.17,0.681514881
39131.21,0.689537743
39131.25,0.688362953
39131.29,0.632479116
39131.33,0.4793166
39131.37,0.342076362
39131.42,0.279287578
39131.46,0.278196057
39131.50,0.290330027
39131.54,0.290811758
39131.58,0.289753448
39131.62,0.271461782
39131.67,0.275146221
39131.71,0.322776347
39131.75,0.372030525
39131.79,0.437124758
39131.83,0.491643229
39131.87,0.538150762
39131.92,0.589918491
39131.96,0.608969466
39132.00,0.652877905
39132.04,0.68533986
39132.08,0.697557188
39132.12,0.724323444
39132.17,0.737127211
39132.21,0.748221855
39132.25,0.743230037
39132.29,0.733681412
39132.33,0.669498546
39132.37,0.624529227
39132.42,0.601936483
39132.46,0.589189878
39132.50,0.584497697
39132.54,0.589699488
39132.58,0.597508351
39132.62,0.631371609
39132.67,0.693979368
39132.71,0.744741198
39132.75,0.762457578
39132.79,0.767025548
39132.83,0.766663587
39132.87,0.745932035
39132.92,0.732763125
39132.96,0.694378023
39133.00,0.592471865
39133.04,0.512601787
39133.08,0.502631171
39133.12,0.483359514
39133.17,0.425108775
39133.21,0.392639206
39133.25,0.359028828
39133.29,0.325707493
39133.33,0.306001588
39133.37,0.287249948
39133.42,0.276912033
39133.46,0.250823276
39133.50,0.199519902
39133.54,0.174299597
39133.58,0.172698227
39133.62,0.17926649
39133.67,0.1721019
39133.71,0.19185371
39133.75,0.196171533
39133.79,0.209304879
39133.83,0.205155538
39133.87,0.207506083
39133.92,0.196351377
39133.96,0.195136854
39134.00,0.1885864
39134.04,0.173402652
39134.08,0.152115678
39134.12,0.148704788
39134.17,0.110836998
39134.21,0.109242324
39134.25,0.106010724
39134.29,0.097773094
39134.33,0.08178922
39134.37,0.068964748
39134.42,0.054664101
39134.46,0.048340942
39134.50,0.047435999
39134.54,0.061389589
39134.58,0.090693405
39134.62,0.112016129
39134.67,0.172542684
39134.71,0.255701461
39134.75,0.311820109
39134.79,0.373614467
39134.83,0.389611882
39134.87,0.409453227
39134.92,0.4563346
39134.96,0.516370347
39135.00,0.535888298
39135.04,0.591059698
39135.08,0.597996287
39135.12,0.577130027
39135.17,0.604451111
39135.21,0.683264896
39135.25,0.734325106
39135.29,0.728644699
39135.33,0.712288631
39135.37,0.687712479
39135.42,0.632918935
39135.46,0.617086785
39135.50,0.607610714
39135.54,0.577034235
39135.58,0.540163593
39135.62,0.519835066
39135.67,0.535347009
39135.71,0.578084925
39135.75,0.639653928
39135.79,0.675432007
39135.83,0.666007035
39135.87,0.660773528
39135.92,0.633059381
39135.96,0.610350682
39136.00,0.609710884
