Date,PJM Load (MW)
38740.29,96640.11714
38740.33,103861.5832
38740.37,104794.2841
38740.42,105051.487
38740.46,105235.6826
38740.5,104319.079
38740.54,103234.4418
38740.58,102197.9711
38740.62,100340.5821
38740.67,99286.06014
38740.71,100285.6283
38740.75,104457.0027
38740.79,109269.6856
38740.83,108739.9722
38740.87,106659.8322
38740.92,102646.9815
38740.96,96008.58476
38741,89228.00806
38741.04,84369.16697
38741.08,82069.93852
38741.12,81266.95337
38741.17,81805.39967
38741.21,83780.29988
38741.25,89879.18264
38741.29,100863.3355
38741.33,107360.1317
38741.37,106565.6137
38741.42,104494.4202
38741.46,102774.8003
38741.5,101044.2555
38741.54,99198.2138
38741.58,97955.02615
38741.62,96702.85764
38741.67,96579.63739
38741.71,98141.64326
38741.75,104251.0866
38741.79,109017.1057
38741.83,108684.6754
38741.87,106222.6473
38741.92,102244.138
38741.96,96140.709
38742,89138.3368
38742.04,84130.79308
38742.08,81609.89364
38742.12,80678.42583
38742.17,80762.94352
38742.21,83040.98079
38742.25,89067.22995
38742.29,99654.31936
38742.33,106300.009
38742.37,106442.8092
38742.42,106117.6829
38742.46,105725.4921
38742.5,105165.2891
38742.54,104730.9445
38742.58,104611.1012
38742.62,103930.4378
38742.67,103596.5733
38742.71,105806.3944
38742.75,111137.3496
38742.79,115006.3742
38742.83,114460.6811
38742.87,112475.5055
38742.92,108625.0066
38742.96,102175.544
38743,95263.63085
38743.04,90498.92955
38743.08,88108.90168
38743.12,87207.14451
38743.17,87304.05716
38743.21,89311.69744
38743.25,95279.21006
38743.29,106129.771
38743.33,112297.5229
38743.37,111395.5897
38743.42,109746.6812
38743.46,108267.2948
38743.5,106526.7467
38743.54,104650.3894
38743.58,103058.6177
38743.62,101215.572
38743.67,99992.80183
38743.71,101340.3288
38743.75,107414.2781
38743.79,113318.2942
38743.83,113672.7353
38743.87,112847.6978
38743.92,109497.9967
38743.96,103388.5555
38744,96749.39969
38744.04,92337.17467
38744.08,90150.85286
38744.12,89308.74856
38744.17,89676.47003
38744.21,91668.11595
38744.25,97609.44818
38744.29,108299.6631
38744.33,114230.8454
38744.37,112837.235
38744.42,110008.6066
38744.46,107559.455
38744.5,104452.4908
38744.54,101595.1601
38744.58,99234.31997
38744.62,96810.6914
38744.67,95262.44823
38744.71,95852.10448
38744.75,101163.6758
38744.79,105522.3778
38744.83,104877.0281
38744.87,103211.836
38744.92,100530.2736
38744.96,95536.59364
38745,89680.50911
38745.04,84143.45557
38745.08,81504.86065
38745.12,79959.14996
38745.17,79388.45246
38745.21,79600.52965
38745.25,81747.33732
38745.29,85322.17197
38745.33,89629.67338
38745.37,92890.06039
38745.42,93895.2449
38745.46,92869.45975
38745.5,90389.96684
38745.54,87412.72184
38745.58,84429.24668
38745.62,82035.70713
38745.67,80708.19177
38745.71,81232.80563
38745.75,86336.06347
38745.79,91400.83773
38745.83,90607.72416
38745.87,89497.78867
38745.92,87555.18136
38745.96,83793.27485
38746,79443.72307
38746.04,75419.05589
38746.08,73011.31206
38746.12,71555.33333
38746.17,70922.1923
38746.21,70848.5426
38746.25,72114.87999
38746.29,74553.19715
38746.33,77768.14259
38746.37,81624.819
38746.42,84268.63939
38746.46,85583.65861
38746.5,85719.17163
38746.54,85759.97675
38746.58,84748.30746
38746.62,83415.91201
38746.67,82991.15778
38746.71,84348.86553
38746.75,88692.91041
38746.79,92609.75611
38746.83,92366.21253
38746.87,90885.41647
38746.92,87672.94366
38746.96,82945.82152
38747,77873.09104
38747.04,73897.87126
38747.08,71929.04976
38747.12,71554.22748
38747.17,72026.3483
38747.21,74133.04388
38747.25,80460.19834
38747.29,91373.34604
38747.33,98273.99422
38747.37,98547.14397
38747.42,97778.85182
38747.46,96762.45813
38747.5,95912.34144
38747.54,94761.85347
38747.58,93795.86398
38747.62,93006.99954
38747.67,92391.61082
38747.71,93902.62847
38747.75,99090.35837
38747.79,102956.6118
38747.83,102590.3148
38747.87,100609.3492
38747.92,96615.27704
38747.96,90020.71207
38748,83257.0235
38748.04,78223.37593
38748.08,75493.08791
38748.12,74496.55176
38748.17,74403.17231
38748.21,76354.13901
38748.25,82266.35134
38748.29,93176.68159
38748.33,100830.7052
38748.37,101917.319
38748.42,102128.6021
38748.46,102493.6063
38748.5,102227.8768
38748.54,101626.3604
38748.58,101276.7394
38748.62,100356.5061
38748.67,100172.4609
38748.71,101792.4334
38748.75,106394.3934
38748.79,109870.2494
38748.83,109465.1975
38748.87,107241.2057
38748.92,103468.0145
38748.96,97065.44395
38749,89740.41423
38749.04,84970.65396
38749.08,82585.63883
38749.12,81569.26353
38749.17,81651.22783
38749.21,83689.80046
38749.25,89407.25455
38749.29,99963.59235
38749.33,106075.7402
38749.37,105657.1781
38749.42,103978.8014
38749.46,102670.0085
38749.5,100824.817
38749.54,98851.5713
38749.58,97459.59616
38749.62,96021.95333
38749.67,95327.71271
38749.71,96949.44503
38749.75,101792.6943
38749.79,106824.6709
38749.83,106630.3728
38749.87,104962.0335
38749.92,101837.3551
38749.96,95268.82334
38750,88362.45068
38750.04,83873.19174
38750.08,81514.11936
38750.12,80419.15326
38750.17,80461.88577
38750.21,82245.49936
38750.25,88260.05189
38750.29,98965.21273
38750.33,104764.4354
38750.37,103656.7439
38750.42,101506.3261
38750.46,100045.8522
38750.5,98070.10717
38750.54,96559.78296
38750.58,95488.07762
38750.62,94628.13806
38750.67,94088.88143
38750.71,95598.64763
38750.75,100555.8912
38750.79,104283.2506
38750.83,103746.6751
38750.87,101659.8568
38750.92,97791.65538
38750.96,91293.93043
38751,84157.54654
38751.04,79297.79846
38751.08,76448.47703
38751.12,74973.56149
38751.17,74361.59761
38751.21,75428.48412
38751.25,80296.61136
38751.29,90364.21297
38751.33,97067.66901
38751.37,97724.03702
38751.42,97755.11283
38751.46,97548.95898
38751.5,96540.22363
38751.54,95155.11215
38751.58,94119.02297
38751.62,92527.46259
38751.67,91020.47042
38751.71,90649.26531
38751.75,93523.37647
38751.79,97915.42184
38751.83,96912.8512
38751.87,94945.32447
38751.92,92392.383
38751.96,87822.12274
38752,82054.50811
38752.04,76970.22383
38752.08,74037.48695
