Date,Waymart_PA
39637.33,0.182220747
39637.37,0.133923805
39637.42,0.106481583
39637.46,0.149053114
39637.5,0.132929196
39637.54,0.547285021
39637.58,0.560748645
39637.62,0.567730587
39637.67,0.273761288
39637.71,0.151610402
39637.75,0.176380953
39637.79,0.321812289
39637.83,0.59862192
39637.87,0.701591845
39637.92,0.705250693
39637.96,0.748372986
39638,0.708365966
39638.04,0.69785225
39638.08,0.745551695
39638.12,0.73817812
39638.17,0.7253889
39638.21,0.643197242
39638.25,0.588367899
39638.29,0.357686511
39638.33,0.405294286
39638.37,0.396887217
39638.42,0.41794508
39638.46,0.550832774
39638.5,0.563883824
39638.54,0.658485396
39638.58,0.542769282
39638.62,0.552409773
39638.67,0.213940172
39638.71,0.016426206
39638.75,0.011439521
39638.79,0.043431336
39638.83,0.249948658
39638.87,0.422042519
39638.92,0.441048299
39638.96,0.482217597
39639,0.610452059
39639.04,0.642584871
39639.08,0.617771949
39639.12,0.632710662
39639.17,0.603881748
39639.21,0.579702612
39639.25,0.45063277
39639.29,0.43853831
39639.33,0.434881366
39639.37,0.393764767
39639.42,0.321754741
39639.46,0.219674064
39639.5,0.271619914
39639.54,0.239875003
39639.58,0.221890271
39639.62,0.169230298
39639.67,0.137814674
39639.71,0.108454281
39639.75,0.10203275
39639.79,0.192506158
39639.83,0.238576041
39639.87,0.156257409
39639.92,0.157891575
39639.96,0.049766209
39640,0.030647853
39640.04,0.016962121
39640.08,0
39640.12,0
39640.17,0
39640.21,0
39640.25,0
39640.29,0
39640.33,0
39640.37,0.009919357
39640.42,0.012244009
39640.46,0.036641602
39640.5,0.049946669
39640.54,0.093125842
39640.58,0.076533866
39640.62,0.099200202
39640.67,0.146604392
39640.71,0.010169081
39640.75,0.017460786
39640.79,0.009626553
39640.83,0.003239993
39640.87,0.007978951
39640.92,0.005149335
39640.96,0
39641,0
39641.04,0
39641.08,0
39641.12,0
39641.17,0
39641.21,0.026028832
39641.25,0.048042458
39641.29,0.009414787
39641.33,0.009810457
39641.37,0.009169839
39641.42,0.015193118
39641.46,0.033333677
39641.5,0.034037698
39641.54,0.074892162
39641.58,0.013974687
39641.62,0.119638918
39641.67,0.310942263
39641.71,0.328108678
39641.75,0.323100147
39641.79,0.505574965
39641.83,0.478913171
39641.87,0.432175782
39641.92,0.346471961
39641.96,0.421784903
39642,0.626514457
39642.04,0.655087958
39642.08,0.614372409
39642.12,0.631010754
39642.17,0.719700232
39642.21,0.707301658
39642.25,0.549538445
39642.29,0.540840393
39642.33,0.601981661
39642.37,0.556725154
39642.42,0.606826726
39642.46,0.554892004
39642.5,0.461808867
39642.54,0.61478018
39642.58,0.586102495
39642.62,0.503486803
39642.67,0.549305626
39642.71,0.608547603
39642.75,0.715456892
39642.79,0.591250477
39642.83,0.466404893
39642.87,0.466964338
39642.92,0.397479505
39642.96,0.311543462
39643,0.00661961
39643.04,0
39643.08,0.02999532
39643.12,0.093669402
39643.17,0.204240676
39643.21,0.273061597
39643.25,0.12688019
39643.29,0.042571397
39643.33,0.025215172
39643.37,0.030646995
39643.42,0.036214022
39643.46,0.06070015
39643.5,0.075719517
39643.54,0.094228056
39643.58,0.138436309
39643.62,0.067660126
39643.67,0.103066126
39643.71,0.081003367
39643.75,0.021511007
39643.79,0.047295757
39643.83,0.016999916
39643.87,0.041463906
39643.92,0.078172733
39643.96,0.107209677
39644,0.120371801
39644.04,0.107025715
