Date,PJM Load (MW)
38747.12,66377.38602
38747.17,66833.12942
38747.21,68763.88153
38747.25,74731.45227
38747.29,85242.31749
38747.33,91854.0849
38747.37,91945.26635
38747.42,91033.95536
38747.46,89921.70657
38747.5,89017.80513
38747.54,87833.09595
38747.58,86859.02851
38747.62,86076.72521
38747.67,85447.75473
38747.71,86914.74138
38747.75,92022.30781
38747.79,95861.17449
38747.83,95526.24599
38747.87,93700.05924
38747.92,90066.35391
38747.96,83920.37405
38748,77559.5424
38748.04,72804.20149
38748.08,70237.35418
38748.12,69320.89955
38748.17,69211.14645
38748.21,70986.2101
38748.25,76538.92131
38748.29,87047.0615
38748.33,94412.27068
38748.37,95316.95804
38748.42,95385.2551
38748.46,95654.42621
38748.5,95334.92434
38748.54,94699.19458
38748.58,94341.49751
38748.62,93427.8238
38748.67,93230.19998
38748.71,94806.15165
38748.75,99327.96659
38748.79,102776.4422
38748.83,102402.7515
38748.87,100333.503
38748.92,96920.59584
38748.96,90966.50733
38749,84044.24199
38749.04,79552.72474
38749.08,77331.11276
38749.12,76394.80059
38749.17,76460.39498
38749.21,78323.10499
38749.25,83681.14057
38749.29,93835.38072
38749.33,99658.78051
38749.37,99058.33375
38749.42,97237.00388
38749.46,95832.39997
38749.5,93933.44845
38749.54,91925.99723
38749.58,90525.94784
38749.62,89094.86314
38749.67,88387.047
38749.71,89964.76855
38749.75,94727.89119
38749.79,99732.49363
38749.83,99569.54952
38749.87,98055.91803
38749.92,95291.44092
38749.96,89171.28814
38750,82667.5873
38750.04,78456.50773
38750.08,76260.80095
38750.12,75245.87957
38750.17,75272.24595
38750.21,76880.03733
38750.25,82535.25396
38750.29,92838.40956
38750.33,98348.95053
38750.37,97059.41621
38750.42,94766.07805
38750.46,93209.8152
38750.5,91180.32243
38750.54,89635.8006
38750.58,88556.02287
38750.62,87702.63994
38750.67,87149.8109
38750.71,88615.57645
38750.75,93492.71176
38750.79,97192.70332
38750.83,96687.47465
38750.87,94755.32855
38750.92,91247.24564
38750.96,85197.79663
38751,78463.99203
38751.04,73882.35967
38751.08,71196.36628
38751.12,69801.47706
38751.17,69173.15081
38751.21,70064.25553
38751.25,74573.12948
38751.29,84238.81827
38751.33,90653.65899
38751.37,91128.22591
38751.42,91016.41429
38751.46,90714.49343
38751.5,89652.02275
38751.54,88232.72151
38751.58,87188.5618
38751.62,85603.55654
38751.67,84082.99508
38751.71,83667.79944
38751.75,86461.82079
38751.79,90826.50462
38751.83,89855.27357
