Date,MountStorm_App
40843.08,0.73550334
40843.12,0.697720773
40843.17,0.648708936
40843.21,0.718250191
40843.25,0.59582462
40843.29,0.689937061
40843.33,0.414964357
40843.37,0.305905349
40843.42,0.437783063
40843.46,0.525962205
40843.5,0.20106994
40843.54,0.33940569
40843.58,0.492421319
40843.62,0.553941248
40843.67,0.621389853
40843.71,0.403078005
40843.75,0.394382087
40843.79,0.434895706
40843.83,0.382107642
40843.87,0.303655753
40843.92,0.397030495
40843.96,0.547257542
40844,0.563909808
40844.04,0.297583056
40844.08,0.159518645
40844.12,0.091599183
40844.17,0.024453399
40844.21,0.001495528
40844.25,0
40844.29,0.009250578
40844.33,0.001884957
40844.37,0.006833362
40844.42,0.016706077
40844.46,0.03852265
40844.5,0.051706812
40844.54,0.079780292
40844.58,0.127142638
40844.62,0.104897171
40844.67,0.165608427
40844.71,0.206130011
40844.75,0.11944552
40844.79,0.102888659
40844.83,0.152870356
40844.87,0.145305035
40844.92,0.102961783
40844.96,0.113659808
40845,0.090821076
40845.04,0.075688754
40845.08,0.044918875
40845.12,0.037131789
40845.17,0.041137092
40845.21,0.023013998
40845.25,0.016624654
40845.29,0.011433356
40845.33,0.00839668
40845.37,0.008271208
40845.42,0.008703471
40845.46,0
40845.5,0.009210408
40845.54,0.017357098
40845.58,0.030378986
40845.62,0.251982021
40845.67,0.455775753
40845.71,0.747432063
40845.75,0.728069099
40845.79,0.728835543
40845.83,0.755923795
40845.87,0.757706673
40845.92,0.757649401
40845.96,0.758189807
40846,0.755017544
40846.04,0.749758256
40846.08,0.738339953
40846.12,0.717477624
40846.17,0.635888432
40846.21,0.562495982
40846.25,0.588057573
40846.29,0.527488141
40846.33,0.236125001
40846.37,0.082671094
40846.42,0.041703372
40846.46,0.001551072
40846.5,0
40846.54,0
40846.58,0
40846.62,0.002982511
40846.67,0.009170965
40846.71,0.011856805
40846.75,0.031436384
40846.79,0.02858716
40846.83,0.031749468
40846.87,0.124407972
40846.92,0.209641703
40846.96,0.292952726
40847,0.479492122
40847.04,0.452366977
40847.08,0.324035331
40847.12,0.275186758
40847.17,0.307577222
40847.21,0.232344597
40847.25,0.201798835
40847.29,0.219636816
40847.33,0.212045898
40847.37,0.19441355
40847.42,0.168362051
40847.46,0.171496845
40847.5,0.188098221
40847.54,0.201989854
40847.58,0.251024726
40847.62,0.243794304
40847.67,0.253428983
40847.71,0.264335394
40847.75,0.219325939
40847.79,0.390333547
40847.83,0.159715456
40847.87,0.139729168
40847.92,0.226789402
40847.96,0.146185047
40848,0.020204062
40848.04,0.114282882
40848.08,0.238505235
40848.12,0.25731099
40848.17,0.193281859
40848.21,0.145284043
40848.25,0.101104361
40848.29,0.051202309
40848.33,0.014815274
40848.37,0
40848.42,0
40848.46,0
40848.5,0
40848.54,0
40848.58,0
40848.62,0
40848.67,0
40848.71,0
40848.75,0
40848.79,0.007798127
40848.83,0.014109078
40848.87,0.028514702
40848.92,0.042044319
40848.96,0.056396761
40849,0.014650696
40849.04,0.025687924
40849.08,0.01023777
40849.12,0.007801033
40849.17,0.00556607
40849.21,0.009909753
40849.25,0.006648727
40849.29,0
40849.33,0
40849.37,0
40849.42,0
40849.46,0
40849.5,0
40849.54,0.008025576
40849.58,0.008075591
40849.62,0.00800555
40849.67,0.015748652
40849.71,0.067454902
40849.75,0.038169065
40849.79,0.082705583
40849.83,0.277048519
40849.87,0.261893303
40849.92,0.364655993
40849.96,0.542103185
40850,0.584607392
40850.04,0.452677909
40850.08,0.683842542
40850.12,0.73388672
40850.17,0.744009254
40850.21,0.744876108
40850.25,0.671169419
40850.29,0.732765413
40850.33,0.592937959
40850.37,0.232422883
40850.42,0.049347567
40850.46,0.001815506
40850.5,0
40850.54,0
40850.58,0
40850.62,0.008282636
40850.67,0.064751621
40850.71,0.20653636
40850.75,0.037877946
40850.79,0
40850.83,0
40850.87,0
40850.92,0
40850.96,0
40851,0.007825002
40851.04,0.072841121
40851.08,0.092404808
40851.12,0.258737305
40851.17,0.365856848
40851.21,0.444389995
40851.25,0.425089924
40851.29,0.408911201
40851.33,0.51909935
40851.37,0.385490541
40851.42,0.200027546
40851.46,0.249599517
40851.5,0.226947523
40851.54,0.273614466
40851.58,0.376833391
40851.62,0.409031029
40851.67,0.241788854
40851.71,0.366946331
40851.75,0.437122466
40851.79,0.443220764
40851.83,0.524703121
40851.87,0.475299464
40851.92,0.429538281
40851.96,0.380073343
40852,0.325991033
40852.04,0.266883312
40852.08,0.159429065
40852.12,0.115997624
40852.17,0.092668206
40852.21,0.084136448
40852.25,0.043466481
40852.29,0.036560118
40852.33,0.012051097
40852.37,0.00902458
40852.42,0.016861801
40852.46,0.020963605
40852.5,0.045334999
40852.54,0.093522481
40852.58,0.102596432
40852.62,0.108918
40852.67,0.158952604
40852.71,0.18421504
40852.75,0.18390166
40852.79,0.298698766
40852.83,0.364715598
40852.87,0.400581303
40852.92,0.471087116
40852.96,0.575692349
40853,0.604815227
40853.04,0.684472043
40853.08,0.726357578
40853.12,0.713815421
40853.17,0.667829098
40853.21,0.543660999
40853.25,0.400102139
40853.29,0.27900499
40853.33,0.119285289
40853.37,0.016585418
40853.42,0.00348116
40853.46,0.005629258
40853.5,0.009701555
40853.54,0.01296132
40853.58,0.025197568
40853.62,0.027024878
40853.67,0.024264628
40853.71,0.012650909
40853.75,0.007886647
40853.79,0.108893501
40853.83,0.072076734
40853.87,0.171780018
40853.92,0.385764362
40853.96,0.621627001
40854,0.748112997
40854.04,0.741760977
40854.08,0.72037694
40854.12,0.786421287
40854.17,0.786421287
40854.21,0.786421287
40854.25,0.778055679
40854.29,0.712632238
40854.33,0.738791271
40854.37,0.639620645
40854.42,0.421829348
40854.46,0.106494586
40854.5,0.007717224
40854.54,0
40854.58,0
40854.62,0
40854.67,0
40854.71,0
40854.75,0
40854.79,0.001901182
40854.83,0.008343336
40854.87,0.000946089
40854.92,0
40854.96,0
40855,0
40855.04,0
40855.08,0
40855.12,0
40855.17,0
40855.21,0
40855.25,0.003983527
40855.29,0.012137552
40855.33,0.033348507
40855.37,0.059020605
40855.42,0.04745192
40855.46,0.034349979
40855.5,0.033740723
40855.54,0.027717106
40855.58,0.009830804
40855.62,0.011592023
40855.67,0.012652282
40855.71,0.025802923
40855.75,0.05867801
40855.79,0.09240924
40855.83,0.052230028
40855.87,0.067358991
40855.92,0.100690178
40855.96,0.082182104
40856,0.043616287
40856.04,0.019650306
40856.08,0.023132065
40856.12,0.035831112
40856.17,0.040653407
40856.21,0.041670202
40856.25,0.083044738
40856.29,0.119887728
40856.33,0.149048819
40856.37,0.05268967
40856.42,0.034722047
40856.46,0.013245896
40856.5,0.045913561
40856.54,0.129589918
40856.58,0.201616534
40856.62,0.282889331
40856.67,0.275867647
40856.71,0.24441742
40856.75,0.210694675
40856.79,0.115503443
40856.83,0.269891701
40856.87,0.529994502
40856.92,0.338638513
40856.96,0.128123968
40857,0.40515537
40857.04,0.749841359
40857.08,0.746469866
40857.12,0.786421287
40857.17,0.754740601
40857.21,0.786421287
40857.25,0.786421287
40857.29,0.786421287
40857.33,0.786421287
40857.37,0.742948369
40857.42,0.744823846
40857.46,0.738387143
40857.5,0.734889263
40857.54,0.707175485
40857.58,0.778055679
40857.62,0.786421287
40857.67,0.786421287
40857.71,0.786421287
40857.75,0.786421287
40857.79,0.786421287
40857.83,0.786421287
40857.87,0.786421287
40857.92,0.786421287
40857.96,0.786421287
40858,0.773999296
40858.04,0.75133776
40858.08,0.756741076
40858.12,0.754314571
40858.17,0.740597777
40858.21,0.74491755
40858.25,0.786421287
40858.29,0.786421287
40858.33,0.786421287
40858.37,0.727766629
40858.42,0.755382913
40858.46,0.737287939
40858.5,0.738614953
40858.54,0.761782075
40858.58,0.726414501
40858.62,0.751625629
40858.67,0.698737342
40858.71,0.532425413
40858.75,0.66833164
40858.79,0.747267043
40858.83,0.757053923
40858.87,0.754387541
40858.92,0.757689439
40858.96,0.735080823
40859,0.726938055
40859.04,0.677896139
40859.08,0.601355845
40859.12,0.611587063
40859.17,0.684380354
40859.21,0.731440643
40859.25,0.748814464
40859.29,0.737763592
40859.33,0.748004584
40859.37,0.75024851
40859.42,0.746033009
40859.46,0.651656353
40859.5,0.656592233
40859.54,0.707656043
40859.58,0.747804763
40859.62,0.739436881
40859.67,0.778469821
40859.71,0.786421287
40859.75,0.786421287
40859.79,0.786421287
40859.83,0.786421287
40859.87,0.786421287
40859.92,0.755996969
40859.96,0.748759469
40860,0.775817732
40860.04,0.786421287
40860.08,0.786421287
40860.12,0.786421287
40860.17,0.786421287
40860.21,0.786421287
40860.25,0.786421287
40860.29,0.786421287
40860.33,0.75268146
40860.37,0.675764005
40860.42,0.505698716
40860.46,0.634274018
40860.5,0.622262572
40860.54,0.604305857
40860.58,0.56315746
40860.62,0.275843993
40860.67,0.370876937
40860.71,0.577510587
40860.75,0.710433296
40860.79,0.786421287
40860.83,0.786421287
40860.87,0.786421287
40860.92,0.786421287
40860.96,0.786421287
40861,0.786421287
40861.04,0.786421287
40861.08,0.786421287
40861.12,0.786421287
40861.17,0.786421287
40861.21,0.786421287
40861.25,0.786421287
40861.29,0.786421287
40861.33,0.786421287
40861.37,0.786421287
40861.42,0.786421287
40861.46,0.786421287
40861.5,0.786421287
40861.54,0.786421287
40861.58,0.786421287
40861.62,0.786421287
40861.67,0.786421287
40861.71,0.786421287
40861.75,0.786421287
40861.79,0.786421287
40861.83,0.786421287
40861.87,0.786421287
40861.92,0.786421287
40861.96,0.786421287
40862,0.786421287
40862.04,0.786421287
40862.08,0.778670898
40862.12,0.739836751
40862.17,0.708989872
40862.21,0.738190684
40862.25,0.69026932
40862.29,0.04661771
40862.33,0.005808419
40862.37,0.040900044
40862.42,0.061352335
40862.46,0.076116165
40862.5,0.104370937
40862.54,0.046760072
40862.58,0.010813975
40862.62,0
40862.67,0.006928372
40862.71,0.00818828
40862.75,0.024205434
40862.79,0.02794378
40862.83,0.099783968
40862.87,0.161209925
40862.92,0.195072422
40862.96,0.014483498
40863,0.008597522
40863.04,0.102138115
40863.08,0.034095885
40863.12,0.016413896
40863.17,0.013665936
40863.21,0.010582282
40863.25,0.006926821
40863.29,0.002154745
40863.33,0.000946089
40863.37,0.003829747
40863.42,0.009017745
40863.46,0.04375827
40863.5,0.176441432
40863.54,0.456735519
40863.58,0.603822326
40863.62,0.627370714
40863.67,0.696226256
40863.71,0.617278719
40863.75,0.65088919
40863.79,0.593808302
40863.83,0.582370425
40863.87,0.666139891
40863.92,0.578795364
40863.96,0.681422419
40864,0.738355965
40864.04,0.754844238
40864.08,0.758055256
40864.12,0.755104481
40864.17,0.661666429
40864.21,0.682579597
40864.25,0.746019269
40864.29,0.745396479
40864.33,0.733408159
40864.37,0.721282279
40864.42,0.766694437
40864.46,0.742293255
40864.5,0.731469849
40864.54,0.708384701
40864.58,0.754444984
40864.62,0.707668276
40864.67,0.599165141
40864.71,0.641165233
40864.75,0.687411257
40864.79,0.740832078
40864.83,0.786421287
40864.87,0.756218237
40864.92,0.746453123
40864.96,0.748185419
40865,0.728479592
40865.04,0.747408856
40865.08,0.752915544
40865.12,0.719591202
40865.17,0.484237676
40865.21,0.426003561
40865.25,0.409727055
40865.29,0.35625772
40865.33,0.147570692
40865.37,0.13096681
40865.42,0.423712364
40865.46,0.433130954
40865.5,0.002663545
40865.54,0.003160275
