Date,year,month,weekend
18968,1951,12,0
18969,1951,12,0
18970,1951,12,1
18971,1951,12,1
18972,1951,12,0
18973,1951,12,0
18974,1951,12,0
18975,1951,12,0
18976,1951,12,0
18977,1951,12,1
18978,1951,12,1
18979,1951,12,0
18980,1951,12,0
18981,1951,12,0
18982,1951,12,0
18983,1951,12,0
18984,1951,12,1
18985,1951,12,1
18986,1951,12,0
18987,1951,12,0
18988,1951,12,0
18989,1951,12,0
18990,1951,12,0
18991,1951,12,1
18992,1951,12,1
18993,1951,12,0
18994,1952,1,0
18995,1952,1,0
18996,1952,1,0
18997,1952,1,0
18998,1952,1,1
18999,1952,1,1
19000,1952,1,0
19001,1952,1,0
19002,1952,1,0
19003,1952,1,0
19004,1952,1,0
19005,1952,1,1
19006,1952,1,1
19007,1952,1,0
19008,1952,1,0
19009,1952,1,0
19010,1952,1,0
19011,1952,1,0
19012,1952,1,1
19013,1952,1,1
19014,1952,1,0
19015,1952,1,0
19016,1952,1,0
19017,1952,1,0
19018,1952,1,0
19019,1952,1,1
19020,1952,1,1
19021,1952,1,0
19022,1952,1,0
19023,1952,1,0
19024,1952,1,0
19025,1952,2,0
19026,1952,2,1
19027,1952,2,1
19028,1952,2,0
19029,1952,2,0
19030,1952,2,0
19031,1952,2,0
19032,1952,2,0
19033,1952,2,1
19034,1952,2,1
19035,1952,2,0
19036,1952,2,0
19037,1952,2,0
19038,1952,2,0
19039,1952,2,0
19040,1952,2,1
19041,1952,2,1
19042,1952,2,0
19043,1952,2,0
19044,1952,2,0
19045,1952,2,0
19046,1952,2,0
19047,1952,2,1
19048,1952,2,1
19049,1952,2,0
19050,1952,2,0
19051,1952,2,0
19052,1952,2,0
19053,1952,2,0
19054,1952,3,1
19055,1952,3,1
19056,1952,3,0
19057,1952,3,0
19058,1952,3,0
19059,1952,3,0
19060,1952,3,0
19061,1952,3,1
19062,1952,3,1
19063,1952,3,0
19064,1952,3,0
19065,1952,3,0
19066,1952,3,0
19067,1952,3,0
19068,1952,3,1
19069,1952,3,1
19070,1952,3,0
19071,1952,3,0
19072,1952,3,0
19073,1952,3,0
19074,1952,3,0
19075,1952,3,1
19076,1952,3,1
19077,1952,3,0
19078,1952,3,0
19079,1952,3,0
19080,1952,3,0
19081,1952,3,0
19082,1952,3,1
19083,1952,3,1
19084,1952,3,0
19085,1952,4,0
19086,1952,4,0
19087,1952,4,0
19088,1952,4,0
19089,1952,4,1
19090,1952,4,1
19091,1952,4,0
19092,1952,4,0
19093,1952,4,0
19094,1952,4,0
19095,1952,4,0
19096,1952,4,1
19097,1952,4,1
19098,1952,4,0
19099,1952,4,0
19100,1952,4,0
19101,1952,4,0
19102,1952,4,0
19103,1952,4,1
19104,1952,4,1
19105,1952,4,0
19106,1952,4,0
19107,1952,4,0
19108,1952,4,0
19109,1952,4,0
19110,1952,4,1
19111,1952,4,1
19112,1952,4,0
19113,1952,4,0
19114,1952,4,0
19115,1952,5,0
19116,1952,5,0
19117,1952,5,1
19118,1952,5,1
19119,1952,5,0
19120,1952,5,0
19121,1952,5,0
19122,1952,5,0
19123,1952,5,0
19124,1952,5,1
19125,1952,5,1
19126,1952,5,0
19127,1952,5,0
19128,1952,5,0
19129,1952,5,0
19130,1952,5,0
19131,1952,5,1
19132,1952,5,1
19133,1952,5,0
19134,1952,5,0
19135,1952,5,0
19136,1952,5,0
19137,1952,5,0
19138,1952,5,1
19139,1952,5,1
19140,1952,5,0
